State,Measure,Year,Value
Alabama,Bridges,2010,16018
Alaska,Bridges,2010,1134
Arizona,Bridges,2010,7579
Arkansas,Bridges,2010,12587
California,Bridges,2010,24558
Colorado,Bridges,2010,8506
Connecticut,Bridges,2010,4191
Delaware,Bridges,2010,861
District of Columbia,Bridges,2010,244
Florida,Bridges,2010,11912
Georgia,Bridges,2010,14670
Hawaii,Bridges,2010,1137
Idaho,Bridges,2010,4132
Illinois,Bridges,2010,26337
Indiana,Bridges,2010,18548
Iowa,Bridges,2010,24731
Kansas,Bridges,2010,25329
Kentucky,Bridges,2010,13849
Louisiana,Bridges,2010,13361
Maine,Bridges,2010,2393
Maryland,Bridges,2010,5195
Massachusetts,Bridges,2010,5113
Michigan,Bridges,2010,10928
Minnesota,Bridges,2010,13108
Mississippi,Bridges,2010,17065
Missouri,Bridges,2010,24245
Montana,Bridges,2010,5119
Nebraska,Bridges,2010,15376
Nevada,Bridges,2010,1753
New Hampshire,Bridges,2010,2409
New Jersey,Bridges,2010,6520
New Mexico,Bridges,2010,3903
New York,Bridges,2010,17365
North Carolina,Bridges,2010,18099
North Dakota,Bridges,2010,4418
Ohio,Bridges,2010,28033
Oklahoma,Bridges,2010,23692
Oregon,Bridges,2010,7255
Pennsylvania,Bridges,2010,22362
Rhode Island,Bridges,2010,757
South Carolina,Bridges,2010,9252
South Dakota,Bridges,2010,5891
Tennessee,Bridges,2010,19892
Texas,Bridges,2010,51454
Utah,Bridges,2010,2911
Vermont,Bridges,2010,2712
Virginia,Bridges,2010,13522
Washington,Bridges,2010,7755
West Virginia,Bridges,2010,7069
Wisconsin,Bridges,2010,13982
Wyoming,Bridges,2010,3060
Puerto Rico,Bridges,2010,2201
United States,Bridges,2010,602292
Alabama,Bridges,2011,16061
Alaska,Bridges,2011,1156
Arizona,Bridges,2011,7739
Arkansas,Bridges,2011,12641
California,Bridges,2011,24609
Colorado,Bridges,2011,8551
Connecticut,Bridges,2011,4200
Delaware,Bridges,2011,857
District of Columbia,Bridges,2011,245
Florida,Bridges,2011,11986
Georgia,Bridges,2011,14694
Hawaii,Bridges,2011,1132
Idaho,Bridges,2011,4164
Illinois,Bridges,2011,26436
Indiana,Bridges,2011,18640
Iowa,Bridges,2011,24537
Kansas,Bridges,2011,25233
Kentucky,Bridges,2011,13948
Louisiana,Bridges,2011,13153
Maine,Bridges,2011,2402
Maryland,Bridges,2011,5214
Massachusetts,Bridges,2011,5099
Michigan,Bridges,2011,10957
Minnesota,Bridges,2011,13117
Mississippi,Bridges,2011,17032
Missouri,Bridges,2011,24286
Montana,Bridges,2011,5097
Nebraska,Bridges,2011,15395
Nevada,Bridges,2011,1783
New Hampshire,Bridges,2011,2423
New Jersey,Bridges,2011,6514
New Mexico,Bridges,2011,3932
New York,Bridges,2011,17384
North Carolina,Bridges,2011,18214
North Dakota,Bridges,2011,4410
