State,Industry,Measure,Year,Pivot Field Values
Alabama,Total,All Employed,2010,1813155
Alaska,Total,All Employed,2010,316691
Arizona,Total,All Employed,2010,2356789
Arkansas,Total,All Employed,2010,1134071
California,Total,All Employed,2010,14414461
Colorado,Total,All Employed,2010,2176986
Connecticut,Total,All Employed,2010,1595713
Delaware,Total,All Employed,2010,399078
District of Columbia,Total,All Employed,2010,693274
Florida,Total,All Employed,2010,7109630
Georgia,Total,All Employed,2010,3753934
Hawaii,Total,All Employed,2010,586772
Idaho,Total,All Employed,2010,605571
Illinois,Total,All Employed,2010,5502322
Indiana,Total,All Employed,2010,2709831
Iowa,Total,All Employed,2010,1436340
Kansas,Total,All Employed,2010,1297779
Kentucky,Total,All Employed,2010,1712178
Louisiana,Total,All Employed,2010,1832357
Maine,Total,All Employed,2010,577790
Maryland,Total,All Employed,2010,2453197
Massachusetts,Total,All Employed,2010,3149169
Michigan,Total,All Employed,2010,3770225
Minnesota,Total,All Employed,2010,2558310
Mississippi,Total,All Employed,2010,1074617
Missouri,Total,All Employed,2010,2573703
Montana,Total,All Employed,2010,419231
Nebraska,Total,All Employed,2010,896936
Nevada,Total,All Employed,2010,1108238
New Hampshire,Total,All Employed,2010,600697
New Jersey,Total,All Employed,2010,3735703
New Mexico,Total,All Employed,2010,781694
New York,Total,All Employed,2010,8340732
North Carolina,Total,All Employed,2010,3788581
North Dakota,Total,All Employed,2010,358635
Ohio,Total,All Employed,2010,4908571
Oklahoma,Total,All Employed,2010,1485400
Oregon,Total,All Employed,2010,1598173
Pennsylvania,Total,All Employed,2010,5472171
Rhode Island,Total,All Employed,2010,447408
South Carolina,Total,All Employed,2010,1758204
South Dakota,Total,All Employed,2010,389198
Tennessee,Total,All Employed,2010,2558438
Texas,Total,All Employed,2010,10182150
Utah,Total,All Employed,2010,1150737
Vermont,Total,All Employed,2010,293058
Virginia,Total,All Employed,2010,3536676
Washington,Total,All Employed,2010,2808698
West Virginia,Total,All Employed,2010,692448
Wisconsin,Total,All Employed,2010,2633572
Wyoming,Total,All Employed,2010,271151
Puerto Rico,Total,All Employed,2010,930319
Alabama,Total,All Employed,2011,1813497
Alaska,Total,All Employed,2011,322084
